Number,Domain,Topic,Count
1,Automobiles & Vehicles,Cars-&-Other-Vehicles,88
2,Automobiles & Vehicles,Driving-Basics,47
3,Automobiles & Vehicles,Motorcycles,31
4,Business & Finance,Finance-and-Business,69
5,Business & Finance,Checks-and-Checkbooks,29
6,Career & Workplace,Work-World,63
7,Career & Workplace,Job-Search,36
8,Career & Workplace,Business-Writing,36
9,Career & Workplace,Meetings,4
10,Culture & Lifestyle,Holidays-and-Traditions,63
11,Culture & Lifestyle,Philosophy-and-Religion,51
12,Culture & Lifestyle,Birthdays,34
13,Culture & Lifestyle,Astrology,32
14,Culture & Lifestyle,Death-Funerals-and-Bereavement,17
15,Education,Education-&-Communication,81
16,Education,Education-and-Communications,81
17,Education,Studying,45
18,Education,Calculating-Volume-and-Area,42
19,Education,School-Stuff,31
20,Education,School-Leadership,16
21,Entertainment,Games,79
22,Entertainment,Arts-and-Entertainment,69
23,Entertainment,Movies,33
24,Entertainment,Books,28
25,Family & Parenting,Youth,79
26,Family & Parenting,Family-Life,71
27,Food & Cooking,Food-and-Entertaining,80
28,Food & Cooking,Turkey-Dishes,17
29,Food & Cooking,Egg-Basics,16
30,Food & Cooking,Cakes,14
31,Health,Sports-and-Fitness,98
32,Health,Abdominal-Exercises,35
33,Health,Weight-Loss-Goals,29
34,Health,Motivation-to-Exercise,13
35,Health,Health,85
36,Health,Mental-Health,42
37,Health,Men's-Health,28
38,Health,Women's-Health,21
39,Health,Reproductive-Health,12
40,Hobbies & Leisure,Hobbies-and-Crafts,87
41,Hobbies & Leisure,Putty-Dough-and-Slime,59
42,Hobbies & Leisure,Crafts,58
43,Hobbies & Leisure,Drawing,49
44,Hobbies & Leisure,Artwork,29
45,Hobbies & Leisure,Guitar-Chords-and-Songs,15
46,Hobbies & Leisure,Singing,9
47,Home & Garden,Garden-Pests-and-Weeds,90
48,Home & Garden,Home-and-Garden,85
49,Home & Garden,Ant-and-Termite-Control,25
50,Home & Garden,Cleaning-Metals,66
51,Personal Care & Beauty,Personal-Care-and-Style,81
52,Personal Care & Beauty,Hair-Care,73
53,Personal Care & Beauty,Personal-Hygiene,65
54,Personal Care & Beauty,Fashion,44
55,Personal Care & Beauty,Curly-Hair,44
56,Personal Care & Beauty,Personal-Care,25
57,Personal Care & Beauty,Clogged-Pores-(Comedones),20
58,Personal Care & Beauty,Skin-Tone,6
59,Pets & Animals,Pets-and-Animals,74
60,Pets & Animals,Dogs,36
61,Pets & Animals,House-Training-Cats,21
62,Relationships,Love-and-Romance,77
63,Relationships,Relationship-Issues,73
64,Relationships,Dating,71
65,Relationships,Relationships,69
66,Relationships,Love,46
67,Relationships,Married-Life,32
68,Self-Improvement,Personal-Development,76
69,Self-Improvement,Communication-Skills,51
70,Self-Improvement,Phone-Skills,39
71,Self-Improvement,Handling-Rejection,38
72,Self-Improvement,Positive-and-Reflective-Lifestyles,13
73,Self-Improvement,Better-Writing,5
74,Technology,Computers-and-Electronics,80
75,Technology,Android,74
76,Technology,Computers,28
77,Technology,Using-PDF-Files,26
78,Technology,Technology-Hacks,19
79,Travel & Leisure,Travel,40
80,Travel & Leisure,Air-Travel,20
81,Travel & Leisure,Official-Travel-Documentation,1